,ID,LIMIT_BAL,SEX,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6
0,1,20000,female,3913,3102,689,0,0,0
1,2,120000,,2682,1725,2682,3272,3455,3261
2,3,90000,female,29239,14027,13559,14331,14948,15549
3,4,50000,female,46990,48233,49291,28314,28959,29547
4,5,50000,male,8617,5670,35835,20940,19146,19131
5,6,50000,male,64400,57069,57608,19394,19619,20024
6,7,500000,male,367965,412023,445007,542653,483003,473944
7,8,100000,female,11876,380,601,221,-159,567
8,9,140000,,11285,14096,12108,12211,11793,3719
9,10,20000,male,0,0,0,0,13007,13912
10,11,200000,female,11073,9787,5535,2513,1828,3731
11,12,260000,,12261,21670,9966,8517,22287,13668
12,13,630000,female,12137,6500,6500,6500,6500,2870
13,14,-,male,65802,67369,65701,66782,36137,36894
14,15,250000,male,70887,67060,63561,59696,56875,55512
15,1,20000,female,3913,3102,689,0,0,0
16,17,20000,male,15376,18010,17428,18338,17905,19104
17,18,320000,male,253286,246536,194663,70074,5856,195599
18,19,-,female,0,0,0,0,0,0
19,20,180000,female,0,0,0,0,0,0
20,21,130000,female,38358,27688,24489,20616,11802,930
21,22,120000,,316,316,316,0,632,316
22,23,-,female,41087,42445,45020,44006,46905,46012
23,24,450000,female,5512,19420,1473,560,0,0
24,25,-,male,4744,7070,0,5398,6360,8292
25,26,50000,male,47620,41810,36023,28967,29829,30046
26,27,60000,male,-109,-425,259,-57,127,-189
27,28,50000,female,22541,16138,17163,17878,18931,19617
28,29,50000,female,650,3415,3416,2040,30430,257
29,30,50000,male,15329,16575,17496,17907,18375,11400
30,31,230000,female,16646,17265,13266,15339,14307,36923
31,32,50000,,30518,29618,22102,22734,23217,23680
32,33,100000,male,93036,84071,82880,80958,78703,75589
33,34,500000,female,10929,4152,22722,7521,71439,8981
34,35,500000,male,13709,5006,31130,3180,0,5293
35,6,50000,male,64400,57069,57608,19394,19619,20024
36,37,-,male,186503,181328,180422,170410,173901,177413
37,38,60000,female,15054,9806,11068,6026,-28335,18660
38,39,50000,male,0,780,0,0,0,0
39,40,280000,male,498,9075,4641,9976,17976,9477
40,41,360000,male,218668,221296,206895,628699,195969,179224
41,42,70000,female,67521,66999,63949,63699,64718,65970
42,43,10000,male,1877,3184,6003,3576,3670,4451
43,44,140000,female,59504,61544,62925,64280,67079,69802
44,45,40000,female,18927,21295,25921,25209,26636,29197
45,46,210000,male,0,0,0,0,0,0
46,47,20000,,14028,16484,15800,16341,16675,0
47,48,150000,female,4463,3034,1170,1170,0,0
48,49,380000,,22401,21540,15134,32018,11849,11873
49,50,-,male,17447,18479,19476,19865,20480,20063
50,16,50000,female,50614,29173,28116,28771,29531,30211
51,36,160000,male,30265,-131,-527,-923,-1488,-1884
